"TimeCreated","Id","LevelDisplayName","Message"
"24-08-2025 20:40:21","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:19.068
ProcessGuid: {99ef7bdc-bd4b-68aa-874e-000000001f00}
ProcessId: 25820
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-U5F5T3L\DELL
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 62785
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.43.1
DestinationHostname: -
DestinationPort: 53
DestinationPortName: domain"
"24-08-2025 20:40:21","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:19.068
ProcessGuid: {99ef7bdc-bd4b-68aa-874e-000000001f00}
ProcessId: 25820
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-U5F5T3L\DELL
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 64027
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.43.1
DestinationHostname: -
DestinationPort: 53
DestinationPortName: domain"
"24-08-2025 20:40:21","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:19.067
ProcessGuid: {99ef7bdc-bd4b-68aa-874e-000000001f00}
ProcessId: 25820
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-U5F5T3L\DELL
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 49665
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.43.1
DestinationHostname: -
DestinationPort: 53
DestinationPortName: domain"
"24-08-2025 20:40:17","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:15.880
ProcessGuid: {99ef7bdc-c107-68aa-bb4f-000000001f00}
ProcessId: 33280
Image: \\?\C:\Program Files\McAfee\WPS\1.32.165.1\mc-fw-host.exe
User: NT AUTHORITY\SYSTEM
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 61629
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 23.38.59.250
DestinationHostname: a23-38-59-250.deploy.static.akamaitechnologies.com
DestinationPort: 80
DestinationPortName: http"
"24-08-2025 20:40:17","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:15.677
ProcessGuid: {99ef7bdc-5332-6887-ad00-000000001f00}
ProcessId: 9556
Image: C:\Program Files\Dell\MyDell\CustomerConnect\SubAgent\Dell.Customer.Connect.SubAgent.exe
User: NT AUTHORITY\SYSTEM
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 55273
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 20.213.196.214
DestinationHostname: -
DestinationPort: 443
DestinationPortName: https"
"24-08-2025 20:40:16","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:14.111
ProcessGuid: {99ef7bdc-5332-6887-ad00-000000001f00}
ProcessId: 9556
Image: C:\Program Files\Dell\MyDell\CustomerConnect\SubAgent\Dell.Customer.Connect.SubAgent.exe
User: NT AUTHORITY\SYSTEM
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 50084
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 104.215.78.13
DestinationHostname: -
DestinationPort: 443
DestinationPortName: https"
"24-08-2025 20:40:16","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:14.487
ProcessGuid: {99ef7bdc-532b-6887-2e00-000000001f00}
ProcessId: 2424
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 59959
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.43.1
DestinationHostname: -
DestinationPort: 53
DestinationPortName: domain"
"24-08-2025 20:40:16","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:14.486
ProcessGuid: {99ef7bdc-532b-6887-2e00-000000001f00}
ProcessId: 2424
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 49700
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.43.1
DestinationHostname: -
DestinationPort: 53
DestinationPortName: domain"
"24-08-2025 20:40:16","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:14.124
ProcessGuid: {99ef7bdc-2b0e-68ab-3f5e-000000001f00}
ProcessId: 48948
Image: C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe
User: DESKTOP-U5F5T3L\DELL
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 55271
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 13.89.179.11
DestinationHostname: -
DestinationPort: 443
DestinationPortName: https"
"24-08-2025 20:40:16","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:14.111
ProcessGuid: {99ef7bdc-532d-6887-4e00-000000001f00}
ProcessId: 4112
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 55272
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 23.47.228.163
DestinationHostname: -
DestinationPort: 80
DestinationPortName: http"
"24-08-2025 20:40:15","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:13.301
ProcessGuid: {99ef7bdc-532b-6887-2e00-000000001f00}
ProcessId: 2424
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 61335
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.43.1
DestinationHostname: -
DestinationPort: 53
DestinationPortName: domain"
"24-08-2025 20:40:14","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:12.817
ProcessGuid: {99ef7bdc-532b-6887-2e00-000000001f00}
ProcessId: 2424
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 56817
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.43.1
DestinationHostname: -
DestinationPort: 53
DestinationPortName: domain"
"24-08-2025 20:40:14","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:12.816
ProcessGuid: {99ef7bdc-532b-6887-2e00-000000001f00}
ProcessId: 2424
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 62939
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.43.1
DestinationHostname: -
DestinationPort: 53
DestinationPortName: domain"
"24-08-2025 20:40:14","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:12.782
ProcessGuid: {99ef7bdc-532d-6887-4e00-000000001f00}
ProcessId: 4112
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 63382
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 23.47.229.231
DestinationHostname: a23-47-229-231.deploy.static.akamaitechnologies.com
DestinationPort: 80
DestinationPortName: http"
"24-08-2025 20:40:14","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:11.988
ProcessGuid: {99ef7bdc-532b-6887-2e00-000000001f00}
ProcessId: 2424
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 52172
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.43.1
DestinationHostname: -
DestinationPort: 53
DestinationPortName: domain"
"24-08-2025 20:40:12","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:10.591
ProcessGuid: {99ef7bdc-532b-6887-2e00-000000001f00}
ProcessId: 2424
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 50939
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.43.1
DestinationHostname: -
DestinationPort: 53
DestinationPortName: domain"
